10
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
635.18	-436.61	-882.74	-5750.59
74.68	99.71	-275.00	6828.90
56.07	-100.28	47.32	8464.63
202.53	-223.14	-76.07	6135.31
-32.38	90.62	-43.74	8767.53
30.30	-7.18	35.48	8377.89
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
335.17	-341.78	-276.53	864.70
201.17	-51.18	-491.60	9769.96
-23.25	207.63	-340.00	5389.75
8.38	-45.35	69.02	8007.80
97.43	-153.68	15.33	6489.50
-16.77	39.15	-19.74	3804.42
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
893.03	-821.65	-769.31	6876.09
96.64	313.94	-842.02	5214.74
144.26	-202.32	30.19	9842.29
-19.23	23.92	15.29	4161.47
-31.70	86.12	-35.29	9574.11
20.37	21.23	-3.12	5366.21
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
748.94	-601.54	-783.92	1118.91
294.81	152.05	-924.11	9258.81
23.19	62.10	-42.46	8734.88
74.71	-121.09	51.70	8183.19
-55.08	110.14	-28.04	9441.95
65.09	9.21	-40.31	7525.62
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
22.64	88.31	-243.89	3277.80
444.53	-284.42	-682.75	1513.53
346.50	-420.57	-183.49	8286.29
38.82	-64.45	35.02	7204.94
-58.91	164.78	-131.78	8830.72
28.61	38.51	-32.09	8676.65
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
439.25	-81.47	-854.14	6809.22
834.29	-846.33	-624.32	7215.76
35.05	293.81	-587.01	7109.87
28.27	-56.09	61.16	7755.15
-39.68	102.75	-36.33	8988.57
151.56	-239.15	40.32	9849.77
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
847.40	-943.50	-633.54	-1340.97
403.72	12.05	-891.58	2520.07
-29.18	161.84	-198.34	8408.07
25.20	36.93	-37.68	7993.14
50.14	-100.15	60.85	8198.12
-16.89	37.94	36.66	9358.36
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
-50.58	212.75	-255.71	9291.22
430.22	-383.75	-519.37	6277.46
312.61	147.93	-951.51	6745.08
243.45	-310.08	-43.65	9065.21
42.87	43.22	-53.39	8785.72
15.59	-20.66	31.14	4929.98
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
923.16	-913.78	-736.28	8926.25
138.55	261.10	-737.06	9861.25
32.92	-62.53	59.63	8503.00
63.88	8.31	-57.78	8010.89
-34.19	80.78	-37.23	6518.49
66.23	-54.40	15.16	8158.98
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
287.93	-112.72	-519.32	1760.21
115.54	274.04	-879.89	8710.65
31.34	-31.29	15.27	5234.66
772.85	-786.18	-582.82	5786.65
-52.27	128.33	-71.15	9954.38
-18.90	26.72	38.82	7232.39
150.00	100.00	50.00	
